Post URL,Account,Views,Likes,Comments,Saved,Caption,Hashtags,Date Posted,Date Collected
https://www.tiktok.com/@enfntsterribles/video/7255267730922704155,enfntsterribles,1.4M,123K,"[ Joey This is so Berlin. I love it, 💗💗💗 Now this is what we call a fashion show, aigrie originelle THE RED DRESS WITH THE BAYONETTA GLASSES??😻😻😻😻😻💗🙏🙏🙏🙏🙏🙏💗💗💗💗💗💗💗, Jas 🦈 THE MODEL IN ALL PINK IM LIVING, Madisen Burley The model diversity *chefs kiss*, Kbreeezly The models are amazing, pluto 👽 these models slayed so hard the assignment was understood, Lea no because the things I’d do for these outfits-, Asrius the model diversity- im gonna cry/pos, Aron THEY ATE OMG. I was not expecting the amount of gorgeous outfits, Brooke_lewi$ Come through diversityyyyy, Yaell Monas No because they picked the perfect model for every single outfit wow, slim z slayyyy, Enrico THIS IS AAAAAZING!!! 🔥🔥🔥, bonniedoes 🍉 The dress with all the crosses was so cool, Ruca_ink Violet chachki is yearning for all of these right now, Lu🕷🥀 the diversity. the talent. all of this is so astounding., BilleyEyeLa$h I NEED THESE FOR CHURCH ASAP, ༺𓆩⛧𓆪༻ the cross top with the boots 😩, InsatiableNails This right here! All day all night baby!!!]",14.4K,#Namilia  Spring/Summer 2024 at #BerlinFashionWeek . #BFW #FashionWeek #fashion ,#Namilia #BerlinFashionWeek #BFW #FashionWeek #fashion ,7/13/2023,11/13/23
https://www.tiktok.com/@beingjulia/video/7251327080791575813,beingjulia,4.5M,87.4K,"[ GS Ladies, wear whatever you want., Angela Powell I feel like wedges are a classic., kendraoh wedges 😭😭😭😭 i will never stop wearing them, C Don’t throw anything out. It will be the biggest trend in 2025., Ciera Cartmill676 I love my rolled jeans and ankle boots 🤷🏼‍♀️I will not get rid of them, Steph-the budgeting foodie Nah, wedges are back in stores everywhere atm so I think they’re actually back in fashion and I am loving it!, Crystal Colunga Popcorn ceiling is out as well, Legamelo Or don’t because we have enough throwing away of useable clothes in this county, SassandLaughs I just get so annoyed b/c I feel like men don’t have to cycle thru styles as much as we do. It’s exhausting., 🌻 Lola 🌻 Women will wear whatever makes them feel beautiful! ❤️, one_more_story I don't own any of those but after this ad I definitely want to buy a lacey bralette and wedges., 🦋 Wear whatever you want!!!, isabelle.r.kerr Or just hear me out. Wear whatever makes you feel comfortable and confident, Jenn all still cute in 202, brendaverduzco710 i love the skinny roll up jean with the ankle boots., Veronica hear me out: wedges with wide leg jeans or bell bottoms?...thoughts?, Rera Pops Lacy bralettes still have their place, they just need to be styled differently. A longline poking out from under a cropped tee? CUTE!, clinkclinkhooray Praying for the day the lacey bralette returns. Idc if I’m 70, I will celebrate appropriately😂, Heidi Padilla hell naw, espadrilles have been around for over 100 years. imma keep them, Itslisa_ Who are you? Lol]",4323,Stop wearing these three things if you want to update your wardrobe #fashiontiktok #styletips #fashionadvice #fashionhelp #styleupgrade #fashionupdate #millennialfashion #stylehelp #genxstyle #styleupdate ,#fashiontiktok #styletips #fashionadvice #fashionhelp #styleupgrade #fashionupdate #millennialfashion #stylehelp #genxstyle #styleupdate ,7/2/2023,11/13/23
https://www.tiktok.com/@tessapeay/video/7234678040129850666,tessapeay,3.6M,469.9K,"[ ♱ chéri ♱ is the brick shape in the room with us now??, shian that’s the shape of the dress, Vova You should try a regency dress, coco That happens with all dresses if it’s not a fitted dress, violet ✭ THATS A BRICK SHAPE? 😀, lauren this is the most helpful and appreciated video fs. like ily for this tysm, audrey 🇬🇷☦️ My stomach could never, Lyric but then there’s the wrinkle, danimae12 if yk how to sew you can just put a C shaped stitch in to make the waist smaller, Rachel 🫶💐 Your perfect 😍, Xx So smart!! I tried on that dress at h & m and it was sooo unflattering, Users Can somebody tell me what kind of shoes is she wearing?, Dian ♥️ OMG this is a great idea, . Where is the dress from?🥹, marian @Ashlyn i’m doing this w my dress, Em i own this exact dress!! i’m probably going to have to copy this looked so good, mollie 🧚‍♂️ WHERE CAN I BUY THIS DRESS???, ⋆.ೃ࿔*:･ • omg i have that same dresss, alisha @🪨📃👩🏽‍🤝‍👩🏻 ITS THE DRESS I WANTED LOOK HOW CUTE, prickmyfinger thick brick shape ????? Girl be so fr rn 🎣🎣]",74.2K,Should I do more fashion magic tricks? Hehe ✨🧙‍♀️ #fashiontiktok #fashionhacks #clothinghacks #uggs #handm #ribbonhack #springfashion #summerfashion #doorshape #styleinspo ,#fashiontiktok #fashionhacks #clothinghacks #uggs #handm #ribbonhack #springfashion #summerfashion #doorshape #styleinspo ,5/18/2023,11/13/23
https://www.tiktok.com/@lisa_azcona/video/7286286154649914666,lisa_azcona,33.6M,2.5M,"[ ꨄ i miss victoria secret angels ., princessailormoon I want to buy Victoria secret now this was all they had to do 🙏, Littleericka Im going to support Victoria secret now love it, david356807093162 post this on IG reels, Kisen Post this on IG reels, J.g542258 Post this on ig reels, No thanks The last girl was SERVING, yeed 🫶 THE FIRST GIRL IS SO PRETTY HELLO!????, Aaron Martinson I wasn't going to look at comments. I figured it would all be negative. I was wrong I love it. God bless, 🇵🇸 FREE PALESTINE 🇵🇸 And people are COMPLAINING about this??? This is so pretty and awesome, Dawgggggg💀💀💀💀💀 Post it on ig reels, IrisaGosson5317 This is amazing! My little girl is an amputee and got real excited when she saw the model with two prosthetics like her 🥰🥰, ✡︎☯☨𝚅𝚒𝚗𝚌𝚎𝚗𝚝☨☯✡ tbh they ate🤭🤭, star — ‧₊˚✩彡 the last girl ATE IT UPPP, I always wanted a honda🥰 i love victoria's secret for this, 🌌. BRO I WISH IT WAS ON INSTA REELS !, Kaylee What there doing is great people don’t like change but models shouldn’t have to look exact and have exact measurements this are reall people ❤️❤️❤️, 🎀 ꜱᴀɢᴇ 🎀 AHHH THEY ALL SLAYY, 🎀🍓silykityy🍓🎀 There is a quote “you can be whoever you want to be no matter what” which describes this so well. These models are beautiful and the comments aint it, zach Post this on ig reels]",128K,Adaptive lingerie for people with physical and sensory disabilities 💓 @Victoria’s Secret #adaptivefashionshow #disabilityawareness #disabilitytiktok #disabilitypride #fashiontok #styletok #inclusivefashion #inclusivesizing #runwaymodel #inclusivitymatters #victoriasecret #fashiontiktok #inclusivityforall #adaptiveapparel #adaptiveclothing #adaptivelingerie #magneticclosure #bodypositivity #adaptivebras #adaptiveunderwear ,#adaptivefashionshow #disabilityawareness #disabilitytiktok #disabilitypride #fashiontok #styletok #inclusivefashion #inclusivesizing #runwaymodel #inclusivitymatters #victoriasecret #fashiontiktok #inclusivityforall #adaptiveapparel #adaptiveclothing #adaptivelingerie #magneticclosure #bodypositivity #adaptivebras #adaptiveunderwear ,10/4/2023,11/13/23
https://www.tiktok.com/@studnioo/video/7202301832906018053,studnioo,7.6M,756.2K,"[ Cat poop G Eazy girl.. bffr, Pepprcreee My vans fit is tank top and basketball shorts. My accessories are a rubber band and twisted tea and maybe with a hoodie, Daniel Morelos I use my vans for roofing and construction only, franklotion3 Bros the vans police 💀, K C So what are female vans fits 🤔, Laila Damaris The spice is what I think are Vans fits lol, Jαɾყ ᥫ᭡ Vans go with absolutely any and everything. That’s why they are the best bye 😂☺️, Hugo Vans are for whatever you want to wear them with, VisitingNative It’s the same thing, they are vans, Eddiillusion I mean, all looks good with vans, Marcos Lopez I thought you were gonna put skaters and surfers from cali but ok, Shroomy archive Nah its old skater fits, Haro Artistry All the skaters already know, justinloflow You can wear them with anything., d * Bro thinks he’s doing something, Jordan Lea pls tick tock i want to stay here thank you, Alan Is the spice in the room with us right now, iivy not g easy 😭, Lee the people that get it get it]",65.7K,Replying to @lame_vms_account  Vans vs Vans aesthetic. #fyp #fypシ #fypage #foryoupage #foryou #foryourpage #fashion #fashiontiktok #fashioninspo #vans #vansharing ,#fyp #fypシ #fypage #foryoupage #foryou #foryourpage #fashion #fashiontiktok #fashioninspo #vans #vansharing ,2/20/2023,11/13/23
https://www.tiktok.com/@teapot.h3arts/video/7226633288687930651,teapot.h3arts,9.3M,1.6M,"[ AMY😍 (paradise edition) EARLY 2000s IS THE BEST NO ONE CAN TELL ME DIFFERENT, oh ❔❕ my school dresses like the 70s to early 2000s, Brenda Baggins Plot twist: you can wear whatever you want! 🥰 doesn’t have to be the hype, 🫶🏻 I feel like I was born in the wrong era, jaidenmojo I still have the older style, 👩‍🎨 00s,, 90s styles w 4ever be on top, Carolineee<333 tbh i feel like i’m seeing it come back, . It’s almost like…fashion changes…every so years? 😭 that’s like asking how we went from 1500’s fashion to the 1900’s, 💋 I was born in the wrong generation 🤗, Vintage-peroxide- blonde Do people saying, let’s bring it back, not realise the vintage communities exist? Like we are thriving on this app. 😂, Old acc I LOVE THE 70S😩😩😩😩, Sedona i wanna dress 40s-60s all the time but because of how fashion is now i think id get judged so much, Angie 🦀 real, C.Tommy😜 The 70s just hit dif, Clown Biscuits there's a little bit of everything now, Cerys Saved this for outfit inspo ngl 😂, Ева All clothes from first part are now at stores, parissa @Eliza literally brick lane to stratford 😭, Pearl owen 1961 brilliant🥰, 🫀 tiktok users learning that fashion changes over time 🙅‍♀️🔥]",174.7K,this is one of many parts about how did we go from this to this !! #30s #60s #70s #80s #90s #fashion #outfit #ideas #style #nohate #tw #opinion #2020 #2023 #chav #chavvy #uk #america #ew ,#30s #60s #70s #80s #90s #fashion #outfit #ideas #style #nohate #tw #opinion #2020 #2023 #chav #chavvy #uk #america #ew ,4/27/2023,11/13/23
https://www.tiktok.com/@sasha_fuks/video/7271396183099133216,sasha_fuks,2.2M,222.2K,"[ em i was thinking “in this economy? love ain’t paying rent😭😭”, Lauren take the card. then get back with him :, Lilly🧍‍♀️ Such a hard choice.....Money all day everyday, samaraconnery6 Where are your ballet flats from please?, Alessia The love of my life bc he would be my credit card w no limit 🤣🤣🤣, user3377628038086 Please share what dress you are wearing?, Mii🧸 @Milena⁷⁷⁷ @felicitas_krz @D i a n a @zoe @weronika Visa 😗✌🏻, saima love of my life.hes worth more to me than money.49m ago 0Reply, candace.roane The most perfect ballet flats 😍1h ago 0Reply, linneaaa @CelinA🤨 uhmm I think it’s obvious ahah, Victoria Lynn255 😂 Both. Both is good...
Visa and MC 😅, Gillian Owens The voice didn’t get through the full explanation of the credit card before I yelled “credit card!”, Olya_Present 💝 Going for visa😂😂, Renae🤷‍♀️ their the same thing?, ANX13TY Visa credit card 😝, 🎧. Credit card, RaRa♑️👑✨ Master 🥰, lexy loves ariana credit card i dont need a man, SDT Very clever and the ending is so funny!, Victoria💫💛 The love of my life because I know that I am going to create my best life for myself!]",15.5K,#fashion #fashiontiktok #ootd #outfit #outfitideas #parisianstyle ,#fashion #fashiontiktok #ootd #outfit #outfitideas #parisianstyle ,8/25/2023,11/13/23
https://www.tiktok.com/@naomihilton_/video/7152551427682880774,naomihilton_,19.4M,514.5K,"[ Leethabo Moreki♡ leave that blazer alone please., AnetaG107 noooo!!, Mary🤗 2 is better, Evie 👩 just buy a cropped blazer?, @n_bonga Uhmm👀 It just got worser💀, Nono Sunny Noooooo, Amanda Mosweu absolutely not😂, Izabela Davanzo i prefer the 2nd (x), Gillian Ridley Just buy a short jacket 😳, Myriam Bourgeois Right is 1000x better, EGI Naaaah🥴…SECOND ALL THE WAY, PRERNAA still NAHH 🥺, Bella Mmakgauta A big no!!!, 🕷️lulu No way💀, Tobaybay NOOOOO, Zauberdame Nope, Abi🍒 Noooo, chi💯❤# noooo the wrong is right😂😂]",51.1K,Turn your blazer into a crop ✔️ #fashionhack #fashionhacks #fashionhscks #tiktokviral #fashion #ootd ,#fashionhack #fashionhacks #fashionhscks #tiktokviral #fashion #ootd ,10/9/2022,11/13/23
https://www.tiktok.com/@erinsamjo/video/7278724826129304878,erinsamjo,11.1M,1.1M,"[ mere you sound like Jennifer Lawrence during the hot wing video 😂 “what do u mean… WHAT DO U MEAN”, Luigi the leg warmers 😭😭😭 im screeching, Kateri Spoor The tail feathers crack me up, Jenn Erin this wasn’t for us😂😂, Alexa Pilling THE LEG WARMERS ATE 😂🙏🏻, Samantha Sanchez i have watched you turn jeans into skirts twice in one day, natalie :) as long as you don’t move or breathe, ur all good to go!!, ErinSamjo · CreatorLet’s also say this again bc I think some ppl get it twisted. I’m happy for her it works on her it’s all for fun no hate please, Amelia Missildine Your laugh makes this a million times better. 🤣😂, Annie Awesome 😂😂😂 Your tail feathers are adorable! So relatable., Lisa Danni Best Not the majestic flaps! 😂😂😂, Megan H This is not for us 🤣, Alfhades I get your confusion. Search for a tutorial tho, it's totally posible, Charlotte Higdon It’s giving Julia Roberts Pretty Woman 😂, 𝔰𝔥𝔢𝔩𝔟𝔢𝔞 Literal definition of this could be us but we’re chunky 😭🤍, Llamamamaof9 Ppl have lost their sense of humor 😂😂😂😂 love it!!!, Scorpion Been tryna figure that part of for ages, Fairy Tzarina Use part of the leg bit to make up the triangle part that's currently missing., MandyB you have to do a little bit of snipping and sewing lol. but it definitely works, Honey Bee NO I UNDERSTAND 😭 I used to get so absolutely flabbergasted at the girls in school who could cut their shirts and pants in cool styles, mine -]",41K,#stitch  with  instructions clear…execution…blurry at best. #jeans #hack #clothinghack #fashionhack #fashion ,#stitch #jeans #hack #clothinghack #fashionhack #fashion ,9/14/2023,11/13/23
https://www.tiktok.com/@slatty.eli/video/7284259364989390110,slatty.eli,15.7M,390.6K,"[ Zero🤍🖤 blud doesnt know about Kodiak bear hoodie ?, Hugh Jass Bro doesn't know about the kodiak bear., mickey Bro doesn’t know about the kodiak hoodie.1w ago 79Reply, d444 Depends on the hoodie. I kinda like to bowtie them lol, Jake Woodruff I will throw a hoodie away if it doesn’t have strings16h ago 5Reply, Elijah⭐️ · Creatorcant pull em out cuz they’re stitched inside the hoodie btw, Eileen Arragutainaq I refuse to wear my hoodies without the string, if the string is gone..the whole thing has to go., Tiffany I literally only like hoodies if they have the drawstring 😭 this is crazy, Burnt and crispy does he not know you can just pull the string out or am I missing something, Geek vape Never cut mine just tie them like shoestrings, FTW.SavageDQ_ Never seen anyone do this…, Nae ✨ Those are my favorite… I hate hoodies without them, Big will The laces are fun to chew on ☹️, 🐻 901⚜️WHO DAT 💅 BARB 🦄 Aw hell na ion want it no more without the strings, user9737130646946 Why not cut one side then pull the whole string out, thebioticgod oh hell no, I need my strings and I need them EVEN, 👹 So much better without them, WazDaDeal91 Got to be Gen Z ive never meet someone doing this, malisha you the guy that asks for scarf in the winter, Sidestep So it doesn't get in the way during construction work]",14.5K,i h8 those strings w a passion #fyp #fashion #fashiontiktok #vintage #thrifted #carhartt ,#fyp #fashion #fashiontiktok #vintage #thrifted #carhartt ,9/29/2023,11/13/23
